Register Number,Exam,Course Code,Course Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,CO1,CO2,CO3,CO4,CO5,CO6,CO_Avg,Category
FKAYSST010,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,4.0,4.0,5.0,0.0,6.0,6.0,2.0,5.0,5.0,7.0,4.0,3.25,3.0,3.67,0.67,4.33,3.15,Average
FKAYSST011,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,0.0,4.0,5.0,2.0,4.0,7.0,4.0,4.25,2.5,2.67,3.33,2.67,4.67,3.35,Average
FKAYSST014,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,4.0,5.0,6.0,0.0,3.0,4.0,6.0,5.0,4.0,7.0,4.0,2.75,3.0,2.33,4.0,4.67,3.46,Average
FKAYSST015,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,6.0,6.0,4.0,6.0,7.0,4.25,4.75,4.0,3.67,4.0,4.33,4.17,Excellent
FKAYSST016,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,1.0,0.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,5.0,6.0,0.0,0.0,2.0,3.0,0.0,1.0,5.0,0.0,2.25,0.75,2.67,2.67,1.0,4.0,2.22,Below Average
FKAYSST017,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,2.0,1.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.25,1.75,1.67,0.67,0.0,1.0,1.22,At-risk
FKAYSST018,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,2.0,0.0,1.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,1.33,2.0,1.33,1.28,At-risk
FKAYSST019,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,5.0,0.0,3.0,5.0,2.0,0.0,0.0,8.0,2.75,2.75,2.0,3.33,2.67,2.67,2.7,Below Average
FKAYSST021,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,5.0,4.0,6.0,1.0,4.0,4.0,4.0,0.0,9.0,7.0,5.25,3.5,3.33,2.67,2.33,3.0,3.35,Average
FKAYSST001,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,4.0,4.0,6.0,8.0,4.5,5.0,4.0,3.67,3.33,4.0,4.08,Excellent
FKAYSST022,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,6.0,5.0,6.0,6.0,5.0,3.0,6.0,4.0,0.0,10.0,2.25,5.25,3.67,2.67,4.0,5.0,3.81,Average
FKAYSST023,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,0.0,3.0,0.0,1.0,3.0,2.0,3.0,3.0,6.0,6.0,6.0,5.0,3.0,5.0,4.0,4.0,8.0,6.0,5.0,3.5,1.33,3.33,3.33,5.33,3.64,Average
FKAYSST024,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,6.0,6.0,6.0,0.0,1.0,6.0,6.0,4.0,10.0,8.0,5.5,3.5,2.33,3.67,3.0,5.33,3.89,Average
FKAYSST025,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,0.0,0.0,2.0,3.0,3.0,0.0,3.0,2.0,0.0,0.0,4.0,5.0,6.0,5.0,2.0,0.0,5.0,4.0,4.0,1.0,2.5,2.75,1.67,1.67,1.67,4.33,2.43,Below Average
FKAYSST026,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,3.0,3.0,4.0,4.0,5.0,5.0,2.0,5.0,4.0,3.0,6.0,6.0,4.25,4.25,2.0,2.67,3.33,3.67,3.36,Average
FKAYSST027,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,6.0,9.0,0.0,5.25,1.5,4.0,3.67,3.0,6.0,3.9,Average
FKAYSST029,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,5.0,5.0,6.0,6.0,3.0,3.0,3.0,4.0,9.0,7.0,5.25,4.75,3.0,2.67,2.33,4.67,3.78,Average
FKAYSST030,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,5.0,5.0,1.0,1.0,4.0,4.0,6.0,0.0,6.0,2.0,3.25,1.75,3.33,1.33,2.67,3.33,2.61,Below Average
FKAYSST031,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,8.0,5.25,5.0,4.0,3.67,3.0,5.0,4.32,Excellent
FKAYSST032,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,2.5,3.0,2.0,3.0,0.0,5.0,4.0,6.0,0.0,4.0,5.0,0.0,4.0,8.0,0.0,5.0,1.5,3.17,3.33,1.0,4.33,3.06,Average
FKAYSST002,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,2.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,4.0,6.0,4.0,0.0,4.0,5.0,4.0,0.0,0.0,4.0,2.5,2.25,3.33,2.67,2.33,3.33,2.74,Below Average
FKAYSST033,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,0.0,0.0,1.0,2.0,3.0,0.0,3.0,3.0,4.0,0.0,4.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.33,2.0,2.0,2.33,2.11,Below Average
FKAYSST034,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,1.0,3.0,1.0,0.0,3.0,0.0,3.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,4.0,3.0,0.0,2.75,1.0,0.33,1.0,2.33,3.0,1.74,At-risk
FKAYSST035,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,5.0,6.0,0.0,7.0,0.0,4.75,2.5,4.0,3.33,4.0,3.33,3.65,Average
FKAYSST036,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,6.0,5.0,5.0,6.0,6.0,6.0,4.0,4.0,8.0,9.0,4.75,5.25,4.0,3.67,2.0,5.0,4.11,Excellent
FKAYSST037,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,0.0,4.0,4.0,6.0,1.0,4.0,5.0,2.0,0.0,6.0,0.0,4.5,1.25,2.67,3.0,1.67,2.67,2.63,Below Average
FKAYSST039,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,0.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,6.0,5.0,6.0,0.0,2.0,2.0,2.0,5.0,2.0,5.0,2.75,2.75,2.67,2.33,1.0,5.33,2.8,Below Average
FKAYSST040,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,0.0,3.0,3.0,0.0,3.0,1.0,3.0,3.0,6.0,5.0,6.0,1.0,3.0,5.0,6.0,3.0,0.0,10.0,3.0,3.5,2.0,3.0,4.0,4.67,3.36,Average
FKAYSST041,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,4.0,0.0,2.75,1.0,1.0,1.33,1.33,2.67,1.68,At-risk
FKAYSST042,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,2.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,0.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,6.0,3.75,4.0,2.0,3.0,2.67,4.33,3.29,Average
FKAYSST043,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,At-risk
FKAYSST003,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,4.0,5.0,5.0,0.0,4.0,4.0,6.0,0.0,0.0,9.0,2.75,3.25,3.33,3.0,3.0,3.0,3.06,Average
FKAYSCS026,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,3.0,3.0,5.0,5.0,6.0,6.0,4.0,5.0,6.0,6.0,8.0,10.0,5.0,5.5,2.33,3.33,4.0,5.33,4.25,Excellent
FKAYSST004,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,2.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.25,0.75,2.0,1.0,0.0,1.67,1.28,At-risk
FKAYSST005,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,0.0,9.0,0.0,5.25,3.0,3.67,3.33,2.67,3.67,3.6,Average
FKAYSST006,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,0.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,6.0,6.0,6.0,3.0,1.0,6.0,4.0,6.0,9.0,3.75,5.0,3.0,1.67,4.0,5.0,3.74,Average
FKAYSST007,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,2.0,5.0,5.0,0.0,4.0,6.0,6.0,0.0,0.0,8.0,2.75,3.5,3.33,3.67,3.0,2.33,3.1,Average
FKAYSST008,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,3.0,0.0,3.0,5.0,0.0,0.0,4.0,5.0,6.0,0.0,4.0,10.0,2.5,4.0,2.33,3.0,3.0,2.67,2.92,Below Average
FKAYSST009,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ACT1MN101(P),Actuarial Mathematics-I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,6.0,6.0,2.0,5.0,6.0,0.0,3.0,0.0,0.0,3.0,2.0,3.67,3.33,1.67,4.33,3.0,Average
FKAYADAR11,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,6.0,6.0,5.0,6.0,6.0,5.0,0.0,0.0,0.0,10.0,2.75,5.5,4.0,3.67,0.0,4.0,3.32,Average
FKAYADAR12,"UG 1 - Semester End Examination (Regular/Supplementary/Improvement), November 2024",ARA1CJ101,Arabic Short Story,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,8.0,0.0,3.5,1.5,1.33,1.0,2.0,1.33,1.78,At-risk
